data,equipamento,produto,quantidade,valorUnitario,valorTotal,fornecedor
2025-08-20 00:00:00,TE-05,"SERVICOS DE MANUTENCAO EM MAQU",1,11571.28,11571.28,"SOTREQ S/A"
2025-03-05 00:00:00,BM-03,"RETENTOR PTTECH PAT2040002003",1,11532.86,11532.86,"KAIQUE.ALVES"
2025-11-11 00:00:00,CB-26,"SERVICO DE RECAPAGEM",12,952.4216666666666,11429.06,"NACIONAL REFORMADORA DE PNEUS LTDA"
2025-08-20 00:00:00,MN-01,"SERVICOS DE MANUTENCAO EM MAQU",1,11425.67,11425.67,"SOTREQ S/A"
2025-07-04 00:00:00,CB-05,"CILINDRO MERCEDES A0032607463",1,11402.406667,11402.406667,"BRAIANN.ARAGAO"
2025-07-04 00:00:00,CB-23,"CILINDRO MERCEDES A0032607463",1,11402.406667,11402.406667,"BRAIANN.ARAGAO"
2025-07-15 00:00:00,CB-07,"CILINDRO MERCEDES A0032607463",1,11402.406666,11402.406666,"GABRIEL.ANDRADE"
2025-05-10 00:00:00,BM-03,"MOTOR HID AAJBMDB00000BOB",1,11376.825,11376.825,"BRAIANN.ARAGAO"
2025-05-10 00:00:00,BM-03,"MOTOR HID AAJBMDB00000BOB",1,11376.825,11376.825,"BRAIANN.ARAGAO"
2025-08-25 00:00:00,PC-09,"SERVICOS DE MANUTENCAO EM MAQU",1,11357.09,11357.09,"SOTREQ S/A"
2025-04-22 00:00:00,GE-08,"PLACA",1,11351.33,11351.33,"DCCO SOLUCOES EM ENERGIA E EQUIPAMENTOS LTDA"
2025-10-13 00:00:00,PC-02,"SERVICOS DE MANUTENCAO EM MAQU",1,11334.95,11334.95,"SOTREQ S/A"
2025-09-24 00:00:00,PC-10,"SERVICOS DE MANUTENCAO EM MAQU",1,11334.95,11334.95,"SOTREQ S/A"
2025-10-17 00:00:00,PC-10,"SERVICOS DE MANUTENCAO EM MAQU",1,11334.95,11334.95,"SOTREQ S/A"
2025-05-09 00:00:00,PC-03,"DISCO CAT 367-0581",10,1131.697,11316.97,"SOTREQ S/A"
2025-10-24 00:00:00,TE-04,"SERVICOS DE MANUTENCAO EM MAQU",1,11223.39,11223.39,"SOTREQ S/A"
2025-03-14 00:00:00,TE-04,"SERVICOS DE MANUTENCAO EM MAQU",1,11143.58,11143.58,"SOTREQ S/A"
2025-05-23 00:00:00,BM-02,"ROLETE DA ESTEIRA DO BRITADOR",4,2780,11120,"AMERICA PECAS LTDA"
2025-02-07 00:00:00,PC-03,"SERVICOS DE RECAPAGEM E REFORM",3,3668.3333333333335,11005,"RECAPAGEM ALTEROSA LTDA"
2025-02-07 00:00:00,MN-01,"SERVICOS DE MANUTENCAO EM MAQU",1,10975.81,10975.81,"SOTREQ S/A"
2025-03-14 00:00:00,MN-01,"SERVICOS DE MANUTENCAO EM MAQU",1,10975.81,10975.81,"SOTREQ S/A"
2025-03-10 00:00:00,CB-08,"VALVULA MERCEDES A9304300087",1,10961.732,10961.732,"KAIQUE.ALVES"
2025-03-28 00:00:00,CB-21,"VALVULA MERCEDES A9304300087",1,10961.732,10961.732,"ALVARO.ISAQUE"
2025-02-12 00:00:00,PM-02,"PENEIRA 50,8 (2) 1410X2900",3,3650.7180000000003,10952.154,"ALVARO.ISAQUE"
2025-06-24 00:00:00,CB-23,"PNEU 325/95R24",4,2736.30266675,10945.210667,"BRAIANN.ARAGAO"
2025-06-30 00:00:00,CB-27,"PNEU 325/95R24",4,2736.30266675,10945.210667,"BRAIANN.ARAGAO"
2025-08-14 00:00:00,TE-05,"SERVICOS DE MANUTENCAO EM MAQU",4,2722.5,10890,"RPM RECUPERADORA DE PECAS E MAQUINAS LTDA"
2025-02-20 00:00:00,PC-02,"SERVICOS DE MANUTENCAO EM MAQU",1,10877.57,10877.57,"SOTREQ S/A"
2025-03-14 00:00:00,PC-02,"SERVICOS DE MANUTENCAO EM MAQU",1,10877.57,10877.57,"SOTREQ S/A"
2025-02-28 00:00:00,TC-04,"CORREIA TRANSPORTADORA 40",29,374.8968965517241,10872.01,"LUIZ.SANTOS"
2025-07-18 00:00:00,BM-02,"CORREIA TRANSPORTADORA 39",26,417.9380769230769,10866.39,"BRAIANN.ARAGAO"
2025-08-05 00:00:00,PV-01,"ROLETE CARGA 260 (T) X 300",120,90.41267531666668,10849.521038,"BRAIANN.ARAGAO"
2025-09-24 00:00:00,CB-22,"VALVULA MERCEDES A0001402039",1,10834.1,10834.1,"MARDISA VEICULOS SA"
2025-07-04 00:00:00,MN-01,"SERVICO DE RECAPAGEM",7,1523.0957142857144,10661.67,"RECAPAGEM ALTEROSA LTDA"
2025-05-31 00:00:00,BM-04,"CORREIA TRANSPORTADORA 46",26,406.1138461538461,10558.96,"KAIQUE.ALVES"
2025-11-06 00:00:00,CB-12,"CILINDRO MERCEDES A0032607463",1,10537.85,10537.85,"MARDISA VEICULOS SA"
2025-09-18 00:00:00,CC-01,"GRAXA GADUS S3 V220 C 180KG",1,10508.888,10508.888,"VANESSA.ALVES"
2025-09-30 00:00:00,CC-02,"GRAXA GADUS S3 V220 C 180KG",1,10508.888,10508.888,"BRAIANN.ARAGAO"
2025-03-12 00:00:00,BM-01,"SERVICOS DE MANUTENCAO EM MAQU",1,10500,10500,"CONEXAO NEGOCIOS - TURBINAS E SISTEMA HIDRAULICO E"
2025-11-06 00:00:00,CB-12,"VALVULA MERCEDES A 0001404139",1,10490.6,10490.6,"MARDISA VEICULOS SA"
2025-08-05 00:00:00,PV-01,"PENEIRA 19,05 (3/4) 1100X2730",6,1733.9425,10403.655,"BRAIANN.ARAGAO"
2025-10-31 00:00:00,CB-21,"CILINDRO MERCEDES A0032607463",1,10381.93,10381.93,"VANESSA.ALVES"
2025-10-01 00:00:00,CB-26,"CILINDRO MERCEDES A0032607463",1,10381.93,10381.93,"VANESSA.ALVES"
2025-08-30 00:00:00,PM-01,"PENEIRA BEL 12,7(1/2)1100X2730",7,1481.66375,10371.64625,"GABRIEL.ANDRADE"
2025-08-12 00:00:00,CB-14,"VALVULA MERCEDES A 0001404139",1,10351.71,10351.71,"MARDISA VEICULOS SA"
2025-08-12 00:00:00,CB-22,"VALVULA MERCEDES A 0001404139",1,10351.7,10351.7,"MARDISA VEICULOS SA"
2025-04-11 00:00:00,PC-04,"SERVICOS DE RECAPAGEM E REFORM",2,5175,10350,"RECAPAGEM ALTEROSA LTDA"
2025-10-06 00:00:00,PC-05,"SERVICOS DE RECAPAGEM E REFORM",2,5175,10350,"RECAPAGEM ALTEROSA LTDA"
2025-11-08 00:00:00,PC-05,"SERVICOS DE RECAPAGEM E REFORM",2,5175,10350,"RECAPAGEM ALTEROSA LTDA"
2025-01-22 00:00:00,CB-24,"CILINDRO MERCEDES A0032607463",1,10195.316,10195.316,"ALVARO.ISAQUE"
2025-10-16 00:00:00,CB-24,"SERVICO DE RECAPAGEM",9,1132.5600000000002,10193.04,"NACIONAL REFORMADORA DE PNEUS LTDA"
2025-04-09 00:00:00,TE-06,"PINO CAT 544-2985",1,10187.39,10187.39,"SOTREQ S/A"
2025-09-24 00:00:00,CP-02,"BOMBA VEICULAR NAE-75 LL-D2,52",1,10121.135,10121.135,"VANESSA.ALVES"
2025-01-10 00:00:00,MN-01,"SERVICO DE RECAPAGEM",5,2019.514,10097.57,"RECAPAGEM ALTEROSA LTDA"
2025-05-22 00:00:00,CC-02,"GRAXA GADUS S3 V220 C 180KG",1,10089.9,10089.9,"LUIZ.SANTOS"
2025-03-19 00:00:00,BM-02,"INJETOR CAT 3879434",1,10076.57,10076.57,"LUIZ.SANTOS"
2025-04-24 00:00:00,CB-17,"VALVULA MERCEDES A9304300087",1,10060.1872,10060.1872,"KAIQUE.ALVES"
2025-04-01 00:00:00,CB-22,"VALVULA MERCEDES A9304300087",1,10060.1872,10060.1872,"LUIZ.SANTOS"
2025-04-09 00:00:00,CB-23,"VALVULA MERCEDES A9304300087",1,10060.1872,10060.1872,"BRAIANN.ARAGAO"
2025-02-15 00:00:00,CC-02,"GRAXA GADUS S3 V220 C 180KG",1,10025.54,10025.54,"ALVARO.ISAQUE"
2025-05-15 00:00:00,CB-24,"MODULO MERCEDES A 0001404478",1,10016.97,10016.97,"MARDISA VEICULOS SA"
2025-01-06 00:00:00,EH-17,"SERVICOS DE MANUTENCAO EM MAQU",1,9982.5,9982.5,"SOTREQ S/A"
2025-10-24 00:00:00,TE-04,"SERVICOS DE MANUTENCAO EM MAQU",1,9950.73,9950.73,"SOTREQ S/A"
